active_policy_name,after_object_position_live,budget_remaining_after_selection,budget_selection_reason,candidate_rank_by_ev,candidate_selected_by_budget,case_list_matched,case_list_source,case_list_source_row_idx,decision_confidence,decision_detections_considered,decision_matched_distance,decision_matches_oracle,decision_reason,decision_stale,expected_verification_value,found_position_after_revisit,instance_ambiguity_detected,instance_ambiguity_reason,memory_mutated,memory_new_position,memory_old_position,memory_update_action,memory_update_boundary,memory_update_candidate_location,memory_update_confidence,memory_update_instrumented,memory_update_old_location,memory_update_source,nav_search_positions_probed,nav_search_used,oracle_distance,oracle_reason,oracle_stale_label,p_stale_estimate,policy_reason,policy_should_verify,remembered_location,revisit_action,revisit_source,row_claim_boundary,row_idx,scene,seed,selection_policy_name,spawn_action,spawn_success,stale_action_cost,target,target_idx,target_object_id,target_visible_after_revisit_sweep,targeted_case_reason,teleport_success,true_location_offline,uncertainty_inputs,uncertainty_model_name,uncertainty_reason,verification_budget,verification_cost,verifier_name,verifier_used,visibility_error
expected_verification_value_v1,"{'x': 0.8925958871841431, 'y': 1.256059169769287, 'z': 0.8699897527694702}",9,selected_by_expected_verification_value_budget,1,True,False,,,0.0,0,,True,no_matching_detection,True,0.77,,False,,True,"{'x': 0.8925958871841431, 'y': 1.256059169769287, 'z': 0.8699897527694702}","{'x': 0.7154959440231323, 'y': 1.3173447847366333, 'z': -2.202897310256958}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,0.0,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,live_controller_revisit_detector_verifier_evidence,3,False,3.078,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",0,FloorPlan3,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Knife,0,Knife|+00.72|+01.32|-02.20,False,,True,FloorPlan3:Knife_6e934414@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -0.9424718618392944}",4,selected_by_expected_verification_value_budget,6,True,False,,,1.0,6,0.0968,True,nearest_after_detection_normalized_frame_distance,True,0.77,"{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -0.9424718618392944}",False,,True,"{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -0.9424718618392944}","{'x': 0.6819939613342285, 'y': 1.310182809829712, 'z': -0.9019981026649475}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -0.9424718618392944}",1.0,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,live_controller_revisit_detector_verifier_evidence,0,False,0.6047,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",1,FloorPlan3,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Cup,1,Cup|+00.68|+01.31|-00.90,True,,True,FloorPlan3:Cup|+01.29|+01.32|-00.94@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.6047080662432888, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -1.4002172946929932, 'y': 1.3492043018341064, 'z': -1.0355056524276733}",8,selected_by_expected_verification_value_budget,2,True,False,,,0.0,0,,True,no_matching_detection,True,0.77,"{'x': -1.4002172946929932, 'y': 1.3492043018341064, 'z': -1.0355056524276733}",False,,True,"{'x': -1.4002172946929932, 'y': 1.3492043018341064, 'z': -1.0355056524276733}","{'x': 0.7154959440231323, 'y': 1.3173447847366333, 'z': -2.202897548675537}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -1.4002172946929932, 'y': 1.3492043018341064, 'z': -1.0355056524276733}",0.0,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,live_controller_revisit_detector_verifier_evidence,3,True,2.4164,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",2,FloorPlan3,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Knife,0,Knife|+00.72|+01.32|-02.20,True,,True,FloorPlan3:Knife_6e934414@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 2.4164118746405507, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -1.8265241384506226, 'y': 1.3283933401107788, 'z': -1.0492291450500488}",3,selected_by_expected_verification_value_budget,7,True,False,,,1.0,6,0.0968,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': -1.8265241384506226, 'y': 1.3283933401107788, 'z': -1.0492291450500488}","{'x': 0.6819939613342285, 'y': 1.310182809829712, 'z': -0.9019981026649475}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,live_controller_revisit_detector_verifier_evidence,3,False,2.5128,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",3,FloorPlan3,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Cup,1,Cup|+00.68|+01.31|-00.90,False,,True,FloorPlan3:Cup_67148623@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': -1.0945816040039062, 'y': 1.3492043018341064, 'z': -2.8708810806274414}",7,selected_by_expected_verification_value_budget,3,True,False,,,0.0,0,,True,no_matching_detection,True,0.77,"{'x': -1.0945816040039062, 'y': 1.3492043018341064, 'z': -2.8708810806274414}",False,,True,"{'x': -1.0945816040039062, 'y': 1.3492043018341064, 'z': -2.8708810806274414}","{'x': 0.7154959440231323, 'y': 1.3173447847366333, 'z': -2.202897310256958}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -1.0945816040039062, 'y': 1.3492043018341064, 'z': -2.8708810806274414}",0.0,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,live_controller_revisit_detector_verifier_evidence,0,False,1.9294,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",4,FloorPlan3,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Knife,0,Knife|+00.72|+01.32|-02.20,True,,True,FloorPlan3:Knife|-01.09|+01.35|-02.87@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 1.9293996598294358, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -2.0498206615448, 'y': 1.318251609802246, 'z': -2.2013492584228516}",2,selected_by_expected_verification_value_budget,8,True,False,,,1.0,6,0.0968,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': -2.0498206615448, 'y': 1.318251609802246, 'z': -2.2013492584228516}","{'x': 0.6819939613342285, 'y': 1.310182809829712, 'z': -0.9019981026649475}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,live_controller_revisit_detector_verifier_evidence,3,False,3.0251,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",5,FloorPlan3,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Cup,1,Cup|+00.68|+01.31|-00.90,False,,True,FloorPlan3:Cup_67148623@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': -2.0498206615448, 'y': 1.3492043018341064, 'z': -2.9811630249023438}",6,selected_by_expected_verification_value_budget,4,True,False,,,0.0,0,,True,no_matching_detection,True,0.77,,False,,True,"{'x': -2.0498206615448, 'y': 1.3492043018341064, 'z': -2.9811630249023438}","{'x': 0.7154959440231323, 'y': 1.3173447847366333, 'z': -2.202897548675537}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,0.0,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,live_controller_revisit_detector_verifier_evidence,3,False,2.8727,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",6,FloorPlan3,31,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Knife,0,Knife|+00.72|+01.32|-02.20,False,,True,FloorPlan3:Knife_6e934414@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': 0.5634016990661621, 'y': 1.318251609802246, 'z': -2.678492546081543}",1,selected_by_expected_verification_value_budget,9,True,False,,,1.0,6,0.0968,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': 0.5634016990661621, 'y': 1.318251609802246, 'z': -2.678492546081543}","{'x': 0.6819939017295837, 'y': 1.310182809829712, 'z': -0.9019981026649475}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,live_controller_revisit_detector_verifier_evidence,3,False,1.7804,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",7,FloorPlan3,31,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Cup,1,Cup|+00.68|+01.31|-00.90,False,,True,FloorPlan3:Cup|+00.56|+01.32|-02.68@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': -2.1795730590820312, 'y': 1.3492043018341064, 'z': -2.2013492584228516}",5,selected_by_expected_verification_value_budget,5,True,False,,,0.0,0,,True,no_matching_detection,True,0.77,,False,,True,"{'x': -2.1795730590820312, 'y': 1.3492043018341064, 'z': -2.2013492584228516}","{'x': 0.7154959440231323, 'y': 1.3173447847366333, 'z': -2.202897548675537}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,0.0,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,live_controller_revisit_detector_verifier_evidence,3,False,2.8951,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Knife|+00.72|+01.32|-02.20@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",8,FloorPlan3,37,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Knife,0,Knife|+00.72|+01.32|-02.20,False,,True,FloorPlan3:Knife_6e934414@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -2.4241156578063965}",0,selected_by_expected_verification_value_budget,10,True,False,,,1.0,6,0.0968,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': 1.2853460311889648, 'y': 1.318251609802246, 'z': -2.4241156578063965}","{'x': 0.6819939017295837, 'y': 1.310182809829712, 'z': -0.9019981026649475}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,live_controller_revisit_detector_verifier_evidence,3,False,1.6373,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan3:Cup|+00.68|+01.31|-00.90@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",9,FloorPlan3,37,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Cup,1,Cup|+00.68|+01.31|-00.90,False,,True,FloorPlan3:Cup_67148623@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
