active_policy_name,after_object_position_live,budget_remaining_after_selection,budget_selection_reason,candidate_rank_by_ev,candidate_selected_by_budget,case_list_matched,case_list_source,case_list_source_row_idx,decision_confidence,decision_detections_considered,decision_matched_distance,decision_matches_oracle,decision_reason,decision_stale,downstream_task_success,ev_variant,execute_action,execution_boundary,expected_verification_value,found_position_after_revisit,instance_ambiguity_detected,instance_ambiguity_reason,memory_mutated,memory_new_position,memory_old_position,memory_update_action,memory_update_boundary,memory_update_candidate_location,memory_update_confidence,memory_update_instrumented,memory_update_old_location,memory_update_source,nav_search_positions_probed,nav_search_used,oracle_distance,oracle_reason,oracle_stale_label,p_stale_estimate,policy_reason,policy_should_verify,remembered_location,revisit_action,revisit_navigation_actions,revisit_navigation_failure_reason,revisit_path_steps,revisit_source,row_claim_boundary,row_idx,same_type_density_score,same_type_nearby_count,same_type_scene_total,scene,seed,selection_policy_name,spawn_action,spawn_success,stale_action_cost,target,target_idx,target_object_id,target_openable,target_pickupable,target_visible_after_revisit_sweep,targeted_case_reason,task_bridge_navigation_actions,task_bridge_navigation_failure_reason,task_bridge_navigation_mode,task_bridge_path_steps,task_bridge_used_teleportfull,task_execution_evaluated,task_execution_failure_reason,teleport_success,true_location_offline,uncertainty_inputs,uncertainty_model_name,uncertainty_reason,used_teleportfull_for_revisit,verification_budget,verification_cost,verifier_name,verifier_used,visibility_error,visual_instance_confusion_prior
expected_verification_value_v1,"{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}",5,selected_by_expected_verification_value_budget,1,True,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,0,1.0,12,0.1301,True,nearest_after_detection_normalized_frame_distance,True,True,calibrated,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",0.77,,False,,True,"{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}","{'x': -0.4651568830013275, 'y': 1.151225209236145, 'z': 0.4757551848888397}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0,False,3.0429,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead']",,2,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",0,0.0,0,1,FloorPlan1,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,True,False,prior_recorded_false_negative_slice,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead']",,stepwise_navigation,18,False,True,,True,FloorPlan1:Apple_34d5f204@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.0}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,False,6,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep,0.0
expected_verification_value_v1,"{'x': -0.9508416652679443, 'y': 0.4736659526824951, 'z': 5.553867816925049}",0,selected_by_expected_verification_value_budget,6,True,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,26,1.0,24,0.1599,True,nearest_after_detection_normalized_frame_distance,True,True,calibrated,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",0.5075,,False,,True,"{'x': -0.9508416652679443, 'y': 0.4736659526824951, 'z': 5.553867816925049}","{'x': -2.7592267990112305, 'y': 0.6819102764129639, 'z': 1.1773200035095215}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,live_controller_revisit_detector_verifier_evidence,0,False,4.7354,metadata_position_delta_offline_only,True,0.5575,target_not_visible_after_revisit_sweep;visual_instance_confusion_calibrated;expected_verification_value_above_threshold,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,stepwise_navigation,"['RotateRight', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead']",,6,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",1,0.0,0,1,FloorPlan201,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Newspaper,0,Newspaper|-02.76|+00.68|+01.18,False,True,False,prior_recorded_false_negative_slice,"['MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead']",,stepwise_navigation,26,False,True,,True,FloorPlan201:Newspaper_ed198726@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.75}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,False,6,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep,0.75
expected_verification_value_v1,"{'x': -2.712822914123535, 'y': 0.6909465789794922, 'z': 1.0521308183670044}",6,not_ev_gate_candidate,,False,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,24,,,,,,,,calibrated,not_executed,verification_only_no_downstream_action,-0.02,,,,False,,,not_applicable,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,,False,,,0,False,0.4726,metadata_position_delta_offline_only,True,0.03,revisit_failed_visibility_uninformative;same_type_instance_density_penalty;visual_instance_confusion_calibrated;ambiguity_calibrated;expected_verification_value_not_strictly_above_threshold,False,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead']",collision_stuck,1,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",2,1.0,1,1,FloorPlan201,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Pencil,1,Pencil|-02.83|+00.68|+01.51,False,True,False,prior_recorded_false_negative_slice,[],,not_executed,0,,False,,False,FloorPlan201:Pencil|-02.71|+00.69|+01.05@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': False, 'same_type_density_score': 1.0, 'same_type_nearby_count': 1, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.45}",deterministic_live_revisit_uncertainty_v1,revisit_failed_visibility_uninformative;same_type_instance_density_penalty,False,6,0.05,,False,target_not_visible_after_revisit_sweep,0.45
expected_verification_value_v1,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",4,selected_by_expected_verification_value_budget,2,True,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,3,1.0,12,0.1301,True,nearest_after_detection_normalized_frame_distance,True,True,calibrated,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",0.77,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",False,,True,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}","{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0,False,0.5469,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead']",,2,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",3,0.0,0,1,FloorPlan1,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,True,True,prior_recorded_false_negative_slice,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead']",,stepwise_navigation,4,False,True,,True,FloorPlan1:Apple|-00.20|+01.16|00.00@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.5468539947748143, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.0}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,False,6,0.05,grounded_sam2,True,,0.0
expected_verification_value_v1,"{'x': -2.3260958194732666, 'y': 0.6103485822677612, 'z': 4.689018726348877}",0,skipped_by_verification_budget,7,False,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,29,,,,,,,,calibrated,not_executed,verification_only_no_downstream_action,0.5075,,,,False,,,not_applicable,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,,False,,,0,False,3.5383,metadata_position_delta_offline_only,True,0.5575,target_not_visible_after_revisit_sweep;visual_instance_confusion_calibrated;expected_verification_value_above_threshold,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,stepwise_navigation,"['RotateRight', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead']",,6,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",4,0.0,0,1,FloorPlan201,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Newspaper,0,Newspaper|-02.76|+00.68|+01.18,False,True,False,prior_recorded_false_negative_slice,[],,not_executed,0,,False,,True,FloorPlan201:Newspaper_ed198726@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.75}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,False,6,0.05,,False,target_not_visible_after_revisit_sweep,0.75
expected_verification_value_v1,"{'x': -2.2689058780670166, 'y': 0.6909470558166504, 'z': 1.2991939783096313}",1,selected_by_expected_verification_value_budget,5,True,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,27,0.0,0,,True,no_matching_detection,True,True,calibrated,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",0.6125,"{'x': -2.2689058780670166, 'y': 0.6909470558166504, 'z': 1.2991939783096313}",False,,True,"{'x': -2.2689058780670166, 'y': 0.6909470558166504, 'z': 1.2991939783096313}","{'x': -2.831773519515991, 'y': 0.6845982074737549, 'z': 1.5094934701919556}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -2.2689058780670166, 'y': 0.6909470558166504, 'z': 1.2991939783096313}",0.0,True,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,live_controller_revisit_detector_verifier_evidence,0,False,0.6009,metadata_position_delta_offline_only,True,0.6625,visible_target_displaced_from_remembered_location;visual_instance_confusion_calibrated;expected_verification_value_above_threshold,True,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead']",collision_stuck,1,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",5,0.0,0,1,FloorPlan201,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Pencil,1,Pencil|-02.83|+00.68|+01.51,False,True,True,prior_recorded_false_negative_slice,"['RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead']",,stepwise_navigation,31,False,True,,False,FloorPlan201:Pencil|-02.27|+00.69|+01.30@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.6008709163175525, 'teleport_success': False, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.45}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,False,6,0.05,grounded_sam2,True,,0.45
expected_verification_value_v1,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",3,selected_by_expected_verification_value_budget,3,True,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,6,1.0,12,0.1301,True,nearest_after_detection_normalized_frame_distance,True,True,calibrated,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",0.77,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",False,,True,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}","{'x': -0.4651583731174469, 'y': 1.151225209236145, 'z': 0.4757627248764038}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0,False,0.8349,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead']",,2,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",6,0.0,0,1,FloorPlan1,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,True,True,prior_recorded_false_negative_slice,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead']",,stepwise_navigation,5,False,True,,True,FloorPlan1:Apple|-00.06|+01.16|-00.25@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.8349294875402472, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.0}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,False,6,0.05,grounded_sam2,True,,0.0
expected_verification_value_v1,"{'x': -2.047060489654541, 'y': 0.6894253492355347, 'z': 1.0519264936447144}",0,skipped_by_verification_budget,8,False,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,32,,,,,,,,calibrated,not_executed,verification_only_no_downstream_action,0.5075,"{'x': -2.047060489654541, 'y': 0.6894253492355347, 'z': 1.0519264936447144}",,,False,,,not_applicable,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,,False,,,0,False,0.7231,metadata_position_delta_offline_only,True,0.5575,visible_target_displaced_from_remembered_location;visual_instance_confusion_calibrated;expected_verification_value_above_threshold,True,FloorPlan201:Newspaper|-02.76|+00.68|+01.18@before,stepwise_navigation,"['RotateRight', 'MoveAhead', 'RotateRight', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead']",,6,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",7,0.0,0,1,FloorPlan201,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Newspaper,0,Newspaper|-02.76|+00.68|+01.18,False,True,True,prior_recorded_false_negative_slice,[],,not_executed,0,,False,,True,FloorPlan201:Newspaper|-02.05|+00.69|+01.05@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.7231209824250308, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.75}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,False,6,0.05,,False,,0.75
expected_verification_value_v1,"{'x': -2.480984926223755, 'y': 0.6448276042938232, 'z': 4.999676704406738}",0,skipped_by_verification_budget,10,False,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,30,,,,,,,,calibrated,not_executed,verification_only_no_downstream_action,0.2925,,,,False,,,not_applicable,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,,False,,,0,False,3.5078,metadata_position_delta_offline_only,True,0.3425,revisit_failed_visibility_uninformative;visual_instance_confusion_calibrated;expected_verification_value_above_threshold,True,FloorPlan201:Pencil|-02.83|+00.68|+01.51@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead']",collision_stuck,1,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",8,0.0,0,1,FloorPlan201,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Pencil,1,Pencil|-02.83|+00.68|+01.51,False,True,False,prior_recorded_false_negative_slice,[],,not_executed,0,,False,,False,FloorPlan201:Pencil_b282d60f@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': False, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.45}",deterministic_live_revisit_uncertainty_v1,revisit_failed_visibility_uninformative,False,6,0.05,,False,target_not_visible_after_revisit_sweep,0.45
expected_verification_value_v1,"{'x': 1.853363275527954, 'y': 0.9380038380622864, 'z': -2.5602056980133057}",2,selected_by_expected_verification_value_budget,4,True,True,results/ai2thor_live_gsam_mixed_challenge_42_case_pre_registered_v1/case_list_mixed_challenge_42.json,9,1.0,12,0.1301,True,nearest_after_detection_normalized_frame_distance,True,True,calibrated,PickupObject,"stepwise_task_bridge_after_verified_memory_update; uses bounded stepwise navigation before one downstream PickupObject/OpenObject attempt after detector-backed memory refresh; not ObjectNav/SPL, not full navigation, not a manipulation benchmark, not persistent memory writeback, not broad task success",0.77,,False,,True,"{'x': 1.853363275527954, 'y': 0.9380038380622864, 'z': -2.5602056980133057}","{'x': -0.4651583731174469, 'y': 1.151225209236145, 'z': 0.4757627248764038}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0,False,3.82,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,stepwise_navigation,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead']",,2,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",9,0.0,0,1,FloorPlan1,37,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,True,False,prior_recorded_false_negative_slice,"['RotateRight', 'RotateRight', 'RotateRight', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead', 'RotateLeft', 'MoveAhead', 'RotateRight', 'MoveAhead']",,stepwise_navigation,23,False,True,,True,FloorPlan1:Apple_34d5f204@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True, 'same_type_density_score': 0.0, 'same_type_nearby_count': 0, 'same_type_scene_total': 1, 'visual_instance_confusion_prior': 0.0}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,False,6,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep,0.0
