active_policy_name,after_object_position_live,budget_remaining_after_selection,budget_selection_reason,candidate_rank_by_ev,candidate_selected_by_budget,case_list_matched,case_list_source,case_list_source_row_idx,decision_confidence,decision_detections_considered,decision_matched_distance,decision_matches_oracle,decision_reason,decision_stale,expected_verification_value,found_position_after_revisit,instance_ambiguity_detected,instance_ambiguity_reason,memory_mutated,memory_new_position,memory_old_position,memory_update_action,memory_update_boundary,memory_update_candidate_location,memory_update_confidence,memory_update_instrumented,memory_update_old_location,memory_update_source,nav_search_positions_probed,nav_search_used,oracle_distance,oracle_reason,oracle_stale_label,p_stale_estimate,policy_reason,policy_should_verify,remembered_location,revisit_action,revisit_source,row_claim_boundary,row_idx,scene,seed,selection_policy_name,spawn_action,spawn_success,stale_action_cost,target,target_idx,target_object_id,target_visible_after_revisit_sweep,targeted_case_reason,teleport_success,true_location_offline,uncertainty_inputs,uncertainty_model_name,uncertainty_reason,verification_budget,verification_cost,verifier_name,verifier_used,visibility_error
expected_verification_value_v1,"{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}",9,selected_by_expected_verification_value_budget,1,True,False,,,1.0,10,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': 0.7115572690963745, 'y': 0.9569252133369446, 'z': -2.330366849899292}","{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,3,False,3.0429,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",0,FloorPlan1,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,,True,FloorPlan1:Apple_34d5f204@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': 0.07909541577100754, 'y': 1.1071525812149048, 'z': -0.25377392768859863}",4,selected_by_expected_verification_value_budget,6,True,False,,,1.0,48,0.0277,False,nearest_after_detection_normalized_frame_distance,False,0.77,"{'x': 0.07909541577100754, 'y': 1.1071525812149048, 'z': -0.25377392768859863}",True,high_same_type_detection_density_gsam_instance_confusion,False,,,none,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,verified_fresh_or_no_stale_detector_evidence,0,False,0.8741,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",1,FloorPlan1,7,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Book,1,Book|+00.15|+01.10|+00.62,True,,True,FloorPlan1:Book|+00.08|+01.11|-00.25@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.8740751126026955, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",8,selected_by_expected_verification_value_budget,2,True,False,,,1.0,10,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",False,,True,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}","{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -0.19729512929916382, 'y': 1.157825231552124, 'z': -0.001000046730041504}",1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0,False,0.5469,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",2,FloorPlan1,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,True,,True,FloorPlan1:Apple|-00.20|+01.16|00.00@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.5468539947748143, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': 0.15499894320964813, 'y': 1.099259376525879, 'z': 0.6169992685317993}",1,selected_by_expected_verification_value_budget,9,True,False,,,1.0,48,0.0277,True,nearest_after_detection_normalized_frame_distance,False,0.15,"{'x': 0.15499894320964813, 'y': 1.099259376525879, 'z': 0.6169992685317993}",True,high_same_type_detection_density_gsam_instance_confusion,False,,,none,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,verified_fresh_or_no_stale_detector_evidence,0,False,0.0,metadata_position_delta_offline_only,False,0.2,visible_target_near_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",3,FloorPlan1,11,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Book,1,Book|+00.15|+01.10|+00.62,True,,True,FloorPlan1:Book|+00.15|+01.10|+00.62@after,"{'detector_confidence': 1.0, 'depth_consistency': 1.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 1.4901161193847656e-08, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_near_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",7,selected_by_expected_verification_value_budget,3,True,False,,,1.0,10,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",False,,True,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}","{'x': -0.4651575982570648, 'y': 1.151225209236145, 'z': 0.47575879096984863}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,"{'x': -0.05909985303878784, 'y': 1.157825231552124, 'z': -0.25377392768859863}",1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,0,False,0.8349,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",4,FloorPlan1,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,True,,True,FloorPlan1:Apple|-00.06|+01.16|-00.25@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.8349256733655616, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': 0.15499894320964813, 'y': 1.099259376525879, 'z': 0.6169992685317993}",0,selected_by_expected_verification_value_budget,10,True,False,,,1.0,48,0.0277,True,nearest_after_detection_normalized_frame_distance,False,0.15,"{'x': 0.15499894320964813, 'y': 1.099259376525879, 'z': 0.6169992685317993}",True,high_same_type_detection_density_gsam_instance_confusion,False,,,none,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,verified_fresh_or_no_stale_detector_evidence,0,False,0.0,metadata_position_delta_offline_only,False,0.2,visible_target_near_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",5,FloorPlan1,29,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Book,1,Book|+00.15|+01.10|+00.62,True,,True,FloorPlan1:Book|+00.15|+01.10|+00.62@after,"{'detector_confidence': 1.0, 'depth_consistency': 1.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 1.4901161193847656e-08, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_near_remembered_location,,0.05,grounded_sam2,True,
expected_verification_value_v1,"{'x': -1.963379979133606, 'y': 0.8159813284873962, 'z': -1.414886474609375}",6,selected_by_expected_verification_value_budget,4,True,False,,,1.0,10,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': -1.963379979133606, 'y': 0.8159813284873962, 'z': -1.414886474609375}","{'x': -0.4651583731174469, 'y': 1.151225209236145, 'z': 0.4757627248764038}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,3,False,2.4123,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",6,FloorPlan1,31,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,,True,FloorPlan1:Apple_34d5f204@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': 0.07909541577100754, 'y': 1.1071525812149048, 'z': -0.5065479278564453}",3,selected_by_expected_verification_value_budget,7,True,False,,,1.0,48,0.0277,False,nearest_after_detection_normalized_frame_distance,False,0.77,,True,high_same_type_detection_density_gsam_instance_confusion,False,,,none,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,verified_fresh_or_no_stale_detector_evidence,3,False,1.1261,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",7,FloorPlan1,31,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Book,1,Book|+00.15|+01.10|+00.62,False,,True,FloorPlan1:Book_3d15d052@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': 1.853363037109375, 'y': 0.9380039572715759, 'z': -2.5602052211761475}",5,selected_by_expected_verification_value_budget,5,True,False,,,1.0,10,0.2846,True,nearest_after_detection_normalized_frame_distance,True,0.77,,False,,True,"{'x': 1.853363037109375, 'y': 0.9380039572715759, 'z': -2.5602052211761475}","{'x': -0.4651568830013275, 'y': 1.151225209236145, 'z': 0.4757551848888397}",propose_detector_evidence_refresh,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,live_controller_revisit_detector_verifier_evidence,3,False,3.82,metadata_position_delta_offline_only,True,0.82,target_not_visible_after_revisit_sweep;expected_verification_value_above_threshold,True,FloorPlan1:Apple|-00.47|+01.15|+00.48@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",8,FloorPlan1,37,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Apple,0,Apple|-00.47|+01.15|+00.48,False,,True,FloorPlan1:Apple_34d5f204@after,"{'detector_confidence': 0.0, 'depth_consistency': None, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': False, 'visibility_error': 'target_not_visible_after_revisit_sweep', 'distance_from_remembered': None, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,target_not_visible_after_revisit_sweep,,0.05,grounded_sam2,True,target_not_visible_after_revisit_sweep
expected_verification_value_v1,"{'x': -0.05909985303878784, 'y': 1.1071525812149048, 'z': -0.25377392768859863}",2,selected_by_expected_verification_value_budget,8,True,False,,,1.0,48,0.0277,False,nearest_after_detection_normalized_frame_distance,False,0.77,"{'x': -0.05909985303878784, 'y': 1.1071525812149048, 'z': -0.25377392768859863}",True,high_same_type_detection_density_gsam_instance_confusion,False,,,none,controller-backed evidence-guided memory refresh from live revisit detector-verifier evidence; mutated in memory-store snapshot only; not persistent storage; not recovery search; not task success,,1.0,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,verified_fresh_or_no_stale_detector_evidence,0,False,0.8967,metadata_position_delta_offline_only,True,0.82,visible_target_displaced_from_remembered_location;expected_verification_value_above_threshold,True,FloorPlan1:Book|+00.15|+01.10|+00.62@before,TeleportFull,nearest_reachable_to_remembered_before_location,"controller-backed closed-loop GSAM stale-memory detection; InitialRandomSpawn occurs live; TeleportFull is a shortcut to remembered before-location and nearby positions for limited nav search; no TeleportObject; oracle metadata is offline labels only; nav search is limited position-hopping, not step-by-step navigation; not full navigation, manipulation, or task success",9,FloorPlan1,37,expected_verification_value_budgeted_v1,InitialRandomSpawn,True,1.0,Book,1,Book|+00.15|+01.10|+00.62,True,,True,FloorPlan1:Book|-00.06|+01.11|-00.25@after,"{'detector_confidence': 1.0, 'depth_consistency': 0.0, 'object_mobility_prior': 0.85, 'time_interval': 1.0, 'task_importance': 1.0, 'historical_failure': 0.0, 'scene_change_score': 1.0, 'target_visible_after_revisit': True, 'visibility_error': None, 'distance_from_remembered': 0.8967074480733813, 'teleport_success': True}",deterministic_live_revisit_uncertainty_v1,visible_target_displaced_from_remembered_location,,0.05,grounded_sam2,True,
